date,weekday,block,room,start_time,end_time,order,full_name,title,mentor,field
2026-08-06,Thursday,T3,32-155,1:47 PM,2:03 PM,3,Greeshma Vinoy,APOE e4-Associated Microglial Transcriptional Signature Across Neurodegenerative Diseases,Dr. Sudeshna Das,Biology & Medicine
2026-08-06,Thursday,T3,32-155,2:03 PM,2:19 PM,4,Sofia Passos,Predicted glycolytic reprogramming in a microglial substate across neurodegenerative diseases.,Dr. Sudeshna Das,Biology & Medicine
2026-08-06,Thursday,T3,32-155,2:19 PM,2:35 PM,5,Can Nalbantoglu,Schrodinger Bridges for Graph Interpolations,Prof. Justin Solomon,Computer Science & AI
2026-08-06,Thursday,T3,32-155,2:35 PM,2:51 PM,6,Daniel Guo,Improving the Reliability of Hypersonic Airplane Engines Through Bleed Configurations,Prof. Wesley L. Harris,Engineering
2026-08-06,Thursday,T4,32-124,3:15 PM,3:31 PM,1,Sophia Zhao,Reachability-Based Path Planning Across Autonomous Ocean Vehicles Platforms,Prof. Pierre F.J Lermusiaux,"Earth, Ocean & Climate"
2026-08-06,Thursday,T4,32-124,3:31 PM,3:47 PM,2,Yong Ding,Quantifying Information Propagation in Diffusion Posterior Sampling for Ocean Flows,Prof. Pierre F.J Lermusiaux,"Earth, Ocean & Climate"
2026-08-06,Thursday,T4,32-124,3:47 PM,4:03 PM,3,Dhruv Jain,"Structure Analysis using Partial Grotrian Diagram Construction and Isotope-Shift Systematics of Pa I,II,IV,V and Statistical Synthesis of Comagnetometer Constants",Dr. Prajwal T. Mohan Murthy,Physics
2026-08-06,Thursday,T4,32-124,4:03 PM,4:19 PM,4,Aaryan Patel,TailSeeker: Optimizing Molecular Structure Generation for Fibrodysplasia Ossificans Progressiva,Prof. Gil Alterovitz,Computer Science & AI
2026-08-06,Thursday,T4,32-124,4:19 PM,4:35 PM,5,Andy Jo,Affine-Normalized Geometry of Protein Ensembles,Prof. Gil Alterovitz,Biology & Medicine
2026-08-06,Thursday,T4,32-124,4:35 PM,4:51 PM,6,Jay Desai,Effective Computation of Free Resolutions and Cohomology for Quotients of Braid Groups,Prof. Gil Alterovitz,Math
2026-08-06,Thursday,T4,32-141,3:15 PM,3:31 PM,1,Mahima Lele,Evaluating the FDA’s 510(k) Pathway for Approving AI/ML Medical Devices,Prof. Timothy Miller,Economics & Policy
2026-08-06,Thursday,T4,32-141,3:31 PM,3:47 PM,2,Cooper Ho,Detecting Long-Transit Exoplanets via Better Detrending TESS Light Curves,Katharine Hesse,Astronomy & Planetary Science
2026-08-06,Thursday,T4,32-141,3:47 PM,4:03 PM,3,Lillie Lin Li,Neptunian Ridge around faint stars,Katharine Hesse,Astronomy & Planetary Science
2026-08-06,Thursday,T4,32-141,4:03 PM,4:19 PM,4,Lara Otico,Evaluating the Efficacy of RAP-Mediated Steric Hinderance on LRP-1 to Inhibit TcdB Endocytosis and Limit C. difficile Pathogenesis,Prof. Min Dong,Biology & Medicine
2026-08-06,Thursday,T4,32-141,4:19 PM,4:35 PM,5,Jordan Chong,Arsenic Leaching from Granular Activated Carbon Electrodes in Water Treatment,Dr. Muhammad Fahad Ehsan,Engineering
2026-08-06,Thursday,T4,32-141,4:35 PM,4:51 PM,6,Amritha Praveen,Analyzing the Correlation of SBayesRC Calculated Weights for Polygenic Risk Scores and Body Mass Index,Dr. Buu Truong,Biology & Medicine
2026-08-06,Thursday,T4,32-155,3:15 PM,3:31 PM,1,Alex Ren,Investigating cognitive decline in HIV,Prof. Manolis Kellis,Biology & Medicine
2026-08-06,Thursday,T4,32-155,3:31 PM,3:47 PM,2,Amogh Dattatri,Dissecting the effects of non-coding genetic variation on neuropsychiatric disorder susceptibility,Prof. Manolis Kellis,Biology & Medicine
2026-08-06,Thursday,T4,32-155,3:47 PM,4:03 PM,3,Chloe Giglio,Mapping the transcriptional and phenotypic heterogeneity of lung adenocarcinoma progression,Prof. Manolis Kellis,Biology & Medicine
2026-08-06,Thursday,T4,32-155,4:03 PM,4:19 PM,4,Ipek Zeynioğlu,Efficient Binding Free Energy Estimation through Conformational Sampling of Intermediate States,Prof. Manolis Kellis,Chemistry & Materials
2026-08-06,Thursday,T4,32-155,4:19 PM,4:35 PM,5,Tristan Sun,Comorbidity-shaped cell states in Alzheimer’s disease: a single-nucleus dissection of 15 clinical phenotypes,Prof. Manolis Kellis,Biology & Medicine
2026-08-06,Thursday,T4,32-155,4:35 PM,4:51 PM,6,Álvaro Daniel Villafuerte González,Towards Scaling Laws For Long-Horizon Software Engineering Agents,Prof. Manolis Kellis,Computer Science & AI
2026-08-07,Friday,F1,32-124,9:00 AM,9:16 AM,1,Diya Gandhi,The Effect of Mergers on the Generic Drug Market,Dr. Aaron Kesselheim,Economics & Policy
2026-08-07,Friday,F1,32-124,9:16 AM,9:32 AM,2,David Shi,The Grammar of Natural Systems: Compositional Material Design Across Scales,Prof. Markus Buehler,Chemistry & Materials
2026-08-07,Friday,F1,32-124,9:32 AM,9:48 AM,3,David Wang,Predicting Peptide Self-Assembly Phase from LLM Extracted Experimental Conditions,Prof. Markus Buehler,Chemistry & Materials
2026-08-07,Friday,F1,32-124,9:48 AM,10:04 AM,4,Azaria Tsegaye,Observing Landau Levels in Simulated Strained Graphene,"Prof. Jenny Hoffman, Sarah Ziegler",Physics
